Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Snow Depth Units,Cloud Type -1,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
NSRDB,686205,-,-,-,29.17,-96.94,0,50,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,mm,Degrees,m/s,m,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,v2.0.1
Year,Month,Day,Hour,Minute,DHI,DNI,Temperature
2015,1,1,0,0,0,0,5.791131591796898
2015,1,1,0,30,0,0,5.491784667968773
2015,1,1,1,0,0,0,5.192407226562523
2015,1,1,1,30,0,0,5.003869628906273
2015,1,1,2,0,0,0,4.815332031250023
2015,1,1,2,30,0,0,4.785272216796898
2015,1,1,3,0,0,0,4.755242919921898
2015,1,1,3,30,0,0,4.765283203125023
2015,1,1,4,0,0,0,4.775323486328148
2015,1,1,4,30,0,0,4.775903320312523
2015,1,1,5,0,0,0,4.776483154296898
2015,1,1,5,30,0,0,4.788018798828148
2015,1,1,6,0,0,0,4.799554443359398
2015,1,1,6,30,0,0,4.806298828125023
2015,1,1,7,0,0,0,4.813043212890648
2015,1,1,7,30,0,0,4.788415527343773
2015,1,1,8,0,0,0,4.763818359375023
2015,1,1,8,30,0,0,4.704187011718773
2015,1,1,9,0,0,0,4.644555664062523
2015,1,1,9,30,0,0,4.579949951171898
2015,1,1,10,0,0,0,4.515344238281273
2015,1,1,10,30,0,0,4.453149414062523
2015,1,1,11,0,0,0,4.390954589843773
2015,1,1,11,30,0,0,4.338830566406273
2015,1,1,12,0,0,0,4.286737060546898
2015,1,1,12,30,0,0,4.291711425781273
2015,1,1,13,0,0,0,4.296716308593773
2015,1,1,13,30,0,0,4.629205322265648
2015,1,1,14,0,7,0,4.961663818359398
2015,1,1,14,30,5,0,5.488244628906273
2015,1,1,15,0,27,0,6.014794921875023
2015,1,1,15,30,106,0,6.547662353515648
2015,1,1,16,0,130,0,7.080529785156273
2015,1,1,16,30,100,0,7.429162597656273
2015,1,1,17,0,157,0,7.777825927734398
2015,1,1,17,30,71,0,7.918115234375023
2015,1,1,18,0,124,0,8.058404541015648
2015,1,1,18,30,89,0,8.140557861328148
2015,1,1,19,0,125,0,8.222711181640648
2015,1,1,19,30,145,0,8.282159423828148
2015,1,1,20,0,168,0,8.341638183593773
2015,1,1,20,30,61,0,8.349816894531273
2015,1,1,21,0,87,0,8.357995605468773
2015,1,1,21,30,39,0,8.084161376953148
2015,1,1,22,0,60,0,7.810357666015648
2015,1,1,22,30,48,0,7.343530273437523
2015,1,1,23,0,23,0,6.876733398437523
2015,1,1,23,30,3,0,6.557397460937523
2015,1,2,0,0,0,0,6.238061523437523
2015,1,2,0,30,0,0,6.013360595703148
2015,1,2,1,0,0,0,5.788690185546898
2015,1,2,1,30,0,0,5.634484863281273
2015,1,2,2,0,0,0,5.480249023437523
2015,1,2,2,30,0,0,5.432366943359398
2015,1,2,3,0,0,0,5.384454345703148
2015,1,2,3,30,0,0,5.376611328125023
2015,1,2,4,0,0,0,5.368737792968773
2015,1,2,4,30,0,0,5.362786865234398
2015,1,2,5,0,0,0,5.356835937500023
2015,1,2,5,30,0,0,5.349572753906273
2015,1,2,6,0,0,0,5.342309570312523
2015,1,2,6,30,0,0,5.355096435546898
2015,1,2,7,0,0,0,5.367883300781273
2015,1,2,7,30,0,0,5.390496826171898
2015,1,2,8,0,0,0,5.413140869140648
2015,1,2,8,30,0,0,5.452416992187523
2015,1,2,9,0,0,0,5.491662597656273
2015,1,2,9,30,0,0,5.564691162109398
2015,1,2,10,0,0,0,5.637750244140648
2015,1,2,10,30,0,0,5.752740478515648
2015,1,2,11,0,0,0,5.867730712890648
2015,1,2,11,30,0,0,5.993859863281273
2015,1,2,12,0,0,0,6.119989013671898
2015,1,2,12,30,0,0,6.251580810546898
2015,1,2,13,0,0,0,6.383172607421898
2015,1,2,13,30,0,0,6.723596191406273
2015,1,2,14,0,2,0,7.063989257812523
2015,1,2,14,30,3,0,7.603906250000023
2015,1,2,15,0,4,0,8.143823242187523
2015,1,2,15,30,12,0,8.697656250000023
2015,1,2,16,0,18,0,9.251519775390648
2015,1,2,16,30,53,0,9.596215820312523
2015,1,2,17,0,36,0,9.940942382812523
2015,1,2,17,30,175,1,10.195001220703148
2015,1,2,18,0,82,0,10.449090576171898
2015,1,2,18,30,147,0,10.577050781250023
2015,1,2,19,0,195,6,10.705041503906273
2015,1,2,19,30,40,0,10.686608886718773
2015,1,2,20,0,128,0,10.668206787109398
2015,1,2,20,30,115,0,10.627069091796898
2015,1,2,21,0,193,67,10.585900878906273
