#1
double tab1(252,3)   # comment line
           0          200          293.15
           900          200          294.15
           1800          200          295.15
           2700          200          296.15
           3600          200          297.15
           4500          200          298.15
           5400          200          299.15
           6300          200          300.15
           7200          200          301.15
           8100          200          302.15
           9000          200          303.15
           9900          200          304.15
           10800          200          305.15
           11700          200          306.15
           12600          300          293.15
           13500          300          294.15
           14400          300          295.15
           15300          300          296.15
           16200          300          297.15
           17100          300          298.15
           18000          300          299.15
           18900          300          300.15
           19800          300          301.15
           20700          300          302.15
           21600          300          303.15
           22500          300          304.15
           23400          300          305.15
           24300          300          306.15
           25200          400          293.15
           26100          400          294.15
           27000          400          295.15
           27900          400          296.15
           28800          400          297.15
           29700          400          298.15
           30600          400          299.15
           31500          400          300.15
           32400          400          301.15
           33300          400          302.15
           34200          400          303.15
           35100          400          304.15
           36000          400          305.15
           36900          400          306.15
           37800          500          293.15
           38700          500          294.15
           39600          500          295.15
           40500          500          296.15
           41400          500          297.15
           42300          500          298.15
           43200          500          299.15
           44100          500          300.15
           45000          500          301.15
           45900          500          302.15
           46800          500          303.15
           47700          500          304.15
           48600          500          305.15
           49500          500          306.15
           50400          600          293.15
           51300          600          294.15
           52200          600          295.15
           53100          600          296.15
           54000          600          297.15
           54900          600          298.15
           55800          600          299.15
           56700          600          300.15
           57600          600          301.15
           58500          600          302.15
           59400          600          303.15
           60300          600          304.15
           61200          600          305.15
           62100          600          306.15
           63000          700          293.15
           63900          700          294.15
           64800          700          295.15
           65700          700          296.15
           66600          700          297.15
           67500          700          298.15
           68400          700          299.15
           69300          700          300.15
           70200          700          301.15
           71100          700          302.15
           72000          700          303.15
           72900          700          304.15
           73800          700          305.15
           74700          700          306.15
           75600          800          293.15
           76500          800          294.15
           77400          800          295.15
           78300          800          296.15
           79200          800          297.15
           80100          800          298.15
           81000          800          299.15
           81900          800          300.15
           82800          800          301.15
           83700          800          302.15
           84600          800          303.15
           85500          800          304.15
           86400          800          305.15
           87300          800          306.15
           88200          900          293.15
           89100          900          294.15
           90000          900          295.15
           90900          900          296.15
           91800          900          297.15
           92700          900          298.15
           93600          900          299.15
           94500          900          300.15
           95400          900          301.15
           96300          900          302.15
           97200          900          303.15
           98100          900          304.15
           99000          900          305.15
           99900          900          306.15
           100800          1000          293.15
           101700          1000          294.15
           102600          1000          295.15
           103500          1000          296.15
           104400          1000          297.15
           105300          1000          298.15
           106200          1000          299.15
           107100          1000          300.15
           108000          1000          301.15
           108900          1000          302.15
           109800          1000          303.15
           110700          1000          304.15
           111600          1000          305.15
           112500          1000          306.15
           113400          1100          293.15
           114300          1100          294.15
           115200          1100          295.15
           116100          1100          296.15
           117000          1100          297.15
           117900          1100          298.15
           118800          1100          299.15
           119700          1100          300.15
           120600          1100          301.15
           121500          1100          302.15
           122400          1100          303.15
           123300          1100          304.15
           124200          1100          305.15
           125100          1100          306.15
           126000          1200          293.15
           126900          1200          294.15
           127800          1200          295.15
           128700          1200          296.15
           129600          1200          297.15
           130500          1200          298.15
           131400          1200          299.15
           132300          1200          300.15
           133200          1200          301.15
           134100          1200          302.15
           135000          1200          303.15
           135900          1200          304.15
           136800          1200          305.15
           137700          1200          306.15
           138600          1300          293.15
           139500          1300          294.15
           140400          1300          295.15
           141300          1300          296.15
           142200          1300          297.15
           143100          1300          298.15
           144000          1300          299.15
           144900          1300          300.15
           145800          1300          301.15
           146700          1300          302.15
           147600          1300          303.15
           148500          1300          304.15
           149400          1300          305.15
           150300          1300          306.15
           151200          1400          293.15
           152100          1400          294.15
           153000          1400          295.15
           153900          1400          296.15
           154800          1400          297.15
           155700          1400          298.15
           156600          1400          299.15
           157500          1400          300.15
           158400          1400          301.15
           159300          1400          302.15
           160200          1400          303.15
           161100          1400          304.15
           162000          1400          305.15
           162900          1400          306.15
           163800          1500          293.15
           164700          1500          294.15
           165600          1500          295.15
           166500          1500          296.15
           167400          1500          297.15
           168300          1500          298.15
           169200          1500          299.15
           170100          1500          300.15
           171000          1500          301.15
           171900          1500          302.15
           172800          1500          303.15
           173700          1500          304.15
           174600          1500          305.15
           175500          1500          306.15
           176400          1600          293.15
           177300          1600          294.15
           178200          1600          295.15
           179100          1600          296.15
           180000          1600          297.15
           180900          1600          298.15
           181800          1600          299.15
           182700          1600          300.15
           183600          1600          301.15
           184500          1600          302.15
           185400          1600          303.15
           186300          1600          304.15
           187200          1600          305.15
           188100          1600          306.15
           189000          1700          293.15
           189900          1700          294.15
           190800          1700          295.15
           191700          1700          296.15
           192600          1700          297.15
           193500          1700          298.15
           194400          1700          299.15
           195300          1700          300.15
           196200          1700          301.15
           197100          1700          302.15
           198000          1700          303.15
           198900          1700          304.15
           199800          1700          305.15
           200700          1700          306.15
           201600          1800          293.15
           202500          1800          294.15
           203400          1800          295.15
           204300          1800          296.15
           205200          1800          297.15
           206100          1800          298.15
           207000          1800          299.15
           207900          1800          300.15
           208800          1800          301.15
           209700          1800          302.15
           210600          1800          303.15
           211500          1800          304.15
           212400          1800          305.15
           213300          1800          306.15
           214200          1900          293.15
           215100          1900          294.15
           216000          1900          295.15
           216900          1900          296.15
           217800          1900          297.15
           218700          1900          298.15
           219600          1900          299.15
           220500          1900          300.15
           221400          1900          301.15
           222300          1900          302.15
           223200          1900          303.15
           224100          1900          304.15
           225000          1900          305.15
           225900          1900          306.15
